Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.65      0.51     0.51   848146     0.00     0.00  comp_delta_td_cost
 15.92      0.97     0.46 25584958     0.00     0.00  comp_td_point_to_point_delay
 14.53      1.39     0.42 12629702     0.00     0.00  get_non_updateable_bb
 12.46      1.75     0.36   848146     0.00     0.00  find_affected_nets
  9.00      2.01     0.26   869998     0.00     0.00  try_swap
  6.57      2.20     0.19 15637785     0.00     0.00  get_net_cost
  3.81      2.31     0.11 18463104     0.00     0.00  get_seg_start
  3.46      2.41     0.10    68548     0.00     0.00  label_wire_muxes
  3.11      2.50     0.09 18254940     0.00     0.00  get_seg_end
  2.77      2.58     0.08   386965     0.00     0.00  update_td_cost
  2.08      2.64     0.06  3008047     0.00     0.00  update_bb
  2.08      2.70     0.06   315200     0.00     0.00  get_bb_from_scratch
  1.04      2.73     0.03   869998     0.00     0.00  find_to
  1.04      2.76     0.03      124     0.00     0.00  load_net_slack
  1.04      2.79     0.03        1     0.03     2.88  try_place
  0.69      2.81     0.02    30888     0.00     0.00  label_wire_muxes_for_balance
  0.35      2.82     0.01  3022684     0.00     0.00  my_irand
  0.35      2.83     0.01  1421350     0.00     0.00  get_rr_node_index
  0.35      2.84     0.01   222559     0.00     0.00  get_timing_driven_expected_cost
  0.35      2.85     0.01   218668     0.00     0.00  insert_in_edge_list
  0.35      2.86     0.01    11821     0.00     0.00  min_dist_from_mst
  0.35      2.87     0.01     1120     0.00     0.00  get_unidir_opin_connections
  0.35      2.88     0.01        1     0.01     0.01  free_rr_node_indices
  0.35      2.89     0.01        1     0.01     0.01  sync_nets_to_blocks
  0.00      2.89     0.00   848146     0.00     0.00  assess_swap
  0.00      2.89     0.00   638248     0.00     0.00  my_frand
  0.00      2.89     0.00   383841     0.00     0.00  my_malloc
  0.00      2.89     0.00   222559     0.00     0.00  node_to_heap
  0.00      2.89     0.00   222082     0.00     0.00  get_rr_cong_cost
