Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 42.86      0.24     0.24 18463104     0.00     0.00  get_seg_start
 10.71      0.30     0.06 18254940     0.00     0.00  get_seg_end
  8.93      0.35     0.05  1800606     0.00     0.00  comp_td_point_to_point_delay
  5.36      0.38     0.03    57178     0.00     0.00  find_affected_nets
  5.36      0.41     0.03    57082     0.00     0.00  update_td_cost
  3.57      0.43     0.02    68548     0.00     0.00  label_wire_muxes
  3.57      0.45     0.02    57178     0.00     0.00  comp_delta_td_cost
  1.79      0.46     0.01   222559     0.00     0.00  get_timing_driven_expected_cost
  1.79      0.47     0.01   220989     0.00     0.00  add_to_heap
  1.79      0.48     0.01   217602     0.00     0.00  get_expected_segs_to_target
  1.79      0.49     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  1.79      0.50     0.01    57178     0.00     0.00  try_swap
  1.79      0.51     0.01    55176     0.00     0.01  get_track_to_tracks
  1.79      0.52     0.01    30888     0.00     0.00  label_wire_muxes_for_balance
  1.79      0.53     0.01        1    10.00    10.00  add_rr_graph_C_from_switches
  1.79      0.54     0.01        1    10.00    10.00  alloc_sblock_pattern_lookup
  1.79      0.55     0.01        1    10.00    10.00  free_rr_node_indices
  1.79      0.56     0.01        1    10.00    10.00  sync_nets_to_blocks
  0.00      0.56     0.00  1421350     0.00     0.00  get_rr_node_index
  0.00      0.56     0.00   382817     0.00     0.00  my_malloc
  0.00      0.56     0.00   222559     0.00     0.00  node_to_heap
  0.00      0.56     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      0.56     0.00   220989     0.00     0.00  alloc_heap_data
  0.00      0.56     0.00   220989     0.00     0.00  free_heap_data
  0.00      0.56     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      0.56     0.00   200450     0.00     0.00  my_irand
  0.00      0.56     0.00   166056     0.00     0.00  is_sbox
  0.00      0.56     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      0.56     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      0.56     0.00    58080     0.00     0.00  vpr_to_phy_track
  0.00      0.56     0.00    57178     0.00     0.00  assess_swap
  0.00      0.56     0.00    57178     0.00     0.00  find_to
  0.00      0.56     0.00    29040     0.00     0.00  is_cbox
  0.00      0.56     0.00    27513     0.00     0.00  my_frand
  0.00      0.56     0.00    22465     0.00     0.00  get_heap_head
  0.00      0.56     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      0.56     0.00    20292     0.00     0.00  check_node
  0.00      0.56     0.00    20292     0.00     0.00  check_pass_transistors
  0.00      0.56     0.00    19634     0.00     0.00  IsWhitespace
  0.00      0.56     0.00    19577     0.00     0.00  timing_driven_expand_neighbours
  0.00      0.56     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      0.56     0.00    19536     0.00     0.00  alloc_linked_f_pointer
  0.00      0.56     0.00    19355     0.00     0.00  get_net_cost
  0.00      0.56     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      0.56     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      0.56     0.00    13068     0.00     0.00  find_label_of_track
  0.00      0.56     0.00    10710     0.00     0.00  update_bb
  0.00      0.56     0.00     8609     0.00     0.00  get_non_updateable_bb
  0.00      0.56     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      0.56     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      0.56     0.00     4966     0.00     0.00  is_opin
  0.00      0.56     0.00     4742     0.00     0.00  check_subblock_pin
  0.00      0.56     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      0.56     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      0.56     0.00     4627     0.00     0.00  free_rt_node
  0.00      0.56     0.00     4627     0.00     0.00  free_trace_data
  0.00      0.56     0.00     4150     0.00     0.00  alloc_linked_rt_edge
  0.00      0.56     0.00     4150     0.00     0.00  free_linked_rt_edge
  0.00      0.56     0.00     3774     0.00     0.00  my_atoi
  0.00      0.56     0.00     3302     0.00     0.00  FreeTokens
  0.00      0.56     0.00     3287     0.00     0.00  CountTokens
  0.00      0.56     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      0.56     0.00     1359     0.00     0.00  my_strdup
  0.00      0.56     0.00     1120     0.00     0.01  get_unidir_opin_connections
  0.00      0.56     0.00      956     0.00     0.00  get_first_pin
  0.00      0.56     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      0.56     0.00      649     0.00     0.00  hash_value
  0.00      0.56     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      0.56     0.00      551     0.00     0.00  ezxml_decode
  0.00      0.56     0.00      511     0.00     0.00  build_block_output_tnode
  0.00      0.56     0.00      511     0.00     0.00  check_connections_to_global_fb_pins
  0.00      0.56     0.00      479     0.00     0.00  free_traceback
  0.00      0.56     0.00      478     0.00     0.00  assign_locations
  0.00      0.56     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      0.56     0.00      477     0.00     0.00  add_path_to_route_tree
  0.00      0.56     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      0.56     0.00      477     0.00     0.00  add_to_sort_heap
  0.00      0.56     0.00      477     0.00     0.06  assign_blocks_and_route_net
  0.00      0.56     0.00      477     0.00     0.00  empty_heap
  0.00      0.56     0.00      477     0.00     0.00  free_route_tree
  0.00      0.56     0.00      477     0.00     0.00  get_top_of_heap_index
  0.00      0.56     0.00      477     0.00     0.00  heapsort
  0.00      0.56     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      0.56     0.00      477     0.00     0.00  load_new_path_R_upstream
  0.00      0.56     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      0.56     0.00      477     0.00     0.00  mark_ends
  0.00      0.56     0.00      477     0.00     0.00  reset_path_costs
  0.00      0.56     0.00      477     0.00     0.06  timing_driven_route_net
  0.00      0.56     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      0.56     0.00      477     0.00     0.00  update_route_tree
  0.00      0.56     0.00      477     0.00     0.00  update_rr_base_costs
  0.00      0.56     0.00      477     0.00     0.00  update_traceback
  0.00      0.56     0.00      477     0.00     0.00  update_unbuffered_ancestors_C_downstream
  0.00      0.56     0.00      440     0.00     0.00  label_incoming_wires
  0.00      0.56     0.00      437     0.00     0.00  alloc_matrix
  0.00      0.56     0.00      431     0.00     0.00  ezxml_char_content
  0.00      0.56     0.00      429     0.00     0.00  free_matrix
  0.00      0.56     0.00      428     0.00     0.00  get_bb_from_scratch
  0.00      0.56     0.00      414     0.00     0.00  get_type_by_name
  0.00      0.56     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      0.56     0.00      226     0.00     0.00  CountTokensInString
  0.00      0.56     0.00      223     0.00     0.00  ezxml_set_flag
  0.00      0.56     0.00      222     0.00     0.00  FreeNode
  0.00      0.56     0.00      222     0.00     0.00  ezxml_close_tag
  0.00      0.56     0.00      222     0.00     0.00  ezxml_cut
  0.00      0.56     0.00      222     0.00     0.00  ezxml_free
  0.00      0.56     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      0.56     0.00      222     0.00     0.00  ezxml_open_tag
  0.00      0.56     0.00      221     0.00     0.00  CheckElement
  0.00      0.56     0.00      221     0.00     0.00  ezxml_add_child
  0.00      0.56     0.00      221     0.00     0.00  ezxml_insert
  0.00      0.56     0.00      220     0.00     0.00  rr_node_is_global_clb_ipin
  0.00      0.56     0.00      183     0.00     0.00  FindProperty
